Pressure,Initial Temperature,Length-to-diameter Ratio,N2,CH4,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2000000.0,300.0,1.01,2532.28,6049.868,302.1566033522965,-3292.413598819616,2.3809517818580243e-05,1062596.8231740282,747.1305073915873,310103.7430115853,18911618.48987789,21251936.463480562,40163554.95335846,2.3238872817995353
2000000.0,300.0,1.01,2532.28,-5950.127999999999,302.2138857857361,-3290.661299706184,0.00011167108358684023,225756.344614447,158.7768434444747,67219.96591945042,5220898.334729515,4515126.89228894,9736025.227018455,0.5842995631536478
2000000.0,502.0,1.01,2532.28,49.87,504.4383976326776,-2883.704387044514,1e-07,7940732.374854031,5582.160515383618,2283431.2193547515,102818971.73040958,158814647.49708062,261633619.2274902,14.467132080929312
2000000.0,98.0,1.01,2532.28,49.87,108.18557654065238,-3600.8543632607707,1e-07,1433720874.5530047,1007701.907356184,406997296.9673172,8415006315.539499,28674417491.060097,37089423806.599594,1847.944321043316
5000000.0,300.0,1.01,2532.28,49.87,306.82136101656226,-3310.6337489629896,4.888845949693723e-05,534198.0405042863,383.00196768379664,385422.5243474753,22732589.228642758,10683960.810085725,33416550.038728483,2.1640078819131374
-1000000.0000000002,300.0,1.01,2532.28,49.87,3502.5256713439476,-4154806907.1762915,1e-07,1321858175.0674899,910856.7575898295,-185349771.76549196,,26437163501.349796,,
2000000.0,300.0,5.61,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,397.17641478450395,84241.69617160616,6306291.595307864,11332424.815721769,17638716.411029633,0.954735447807544
2000000.0,300.0,-3.59,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,,,,11332424.815721769,,
2000000.0,300.0,1.01,5532.279,49.87,302.1630464284583,-3292.04897048788,3.178843799868916e-05,795010.3876286019,559.0088386850753,232719.2247464218,14836114.9707144,15900207.752572037,30736322.723286435,1.7903938567373425
2000000.0,300.0,1.01,-467.7189999999998,49.87,302.1762228643135,-3291.200957074043,6.693993127570932e-05,376938.8268823355,265.0767481792281,111366.2106427496,7971107.018672699,7538776.537646709,15509883.556319408,0.9194160446671025
2000000.0,300.0,1.01,2532.28,3049.869,302.1602989180447,-3292.0765900227507,3.178667264100735e-05,795195.0746866728,559.1386813864494,232772.6934116077,14838994.907784555,15903901.493733454,30742896.40151801,1.7907671192427852
2000000.0,300.0,1.01,2532.28,-2950.1289999999995,302.16453893562874,-3291.2292059319825,6.6924124874611e-05,376887.60284556827,265.0407325105873,111351.28777531057,7970209.260003601,7537752.056911365,15507961.316914966,0.9193050650779226
2000000.0,401.0,1.01,2532.28,49.87,403.90663407921454,-3079.8544976766952,0.0001857695912796176,125098.91731845384,87.99642843368693,37648.16612959008,3224389.459113811,2501978.3463690765,5726367.805482888,0.34872443910606427
2000000.0,199.0,1.01,2532.28,49.87,204.7519199495678,-3455.1000295933136,2.4046881424756344e-06,11784608.108294776,8284.108475752628,3382267.9285033294,143546786.34445426,235692162.16589552,379238948.51034975,20.78933659372263
3500000.0,300.0,1.01,2532.28,49.87,303.79289601220603,-3302.935896982186,4.604586981327283e-05,551667.7955720332,391.7263162356147,279857.7410317913,17339273.82800221,11033355.911440663,28372629.739442874,1.7727424794642288
499999.99999999994,300.0,1.01,2532.28,49.87,300.4278724850611,-3280.045176558293,4.3016944218206724e-05,585420.012328217,407.62099912444813,47546.103565665195,3912444.057978087,11708400.24656434,15620844.304542426,0.7904255507144797
2000000.0,300.0,3.3099999999999996,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,397.3355231395303,96305.72359829507,7055374.573524167,11332424.815721769,18387799.389245935,1.0111338745130847
2000000.0,300.0,-1.2899999999999996,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,,,,11332424.815721769,,
2000000.0,300.0,1.01,4032.2795000000006,49.87,302.1668990668399,-3291.86785345476,3.737290868079005e-05,675939.9078450014,475.29665745744455,198226.65471078624,12956310.070053775,13518798.15690003,26475108.226953804,1.5480092930535692
2000000.0,300.0,1.01,1032.2805,49.87,302.16669911281366,-3291.459087065634,5.405273532935583e-05,466990.9377920024,328.3915974373168,137573.86976008528,9522148.346563986,9339818.755840048,18861967.102404036,1.1124691046657327
