conversion_profile,temperature_profile,instant_temperature_change_profile,enthalpy_profile,instant_enthalpy_profile,reaction_rate_profile
0.418018018018018,472.51395059367667,0.02666826399549615,-1936314.6490811121,-3039.7459877496585,0.0022247647787030215
0.4189189189189189,472.54057673183587,0.02662613815922542,-1939349.617154166,-3034.968073053984,0.0022211001174822437
0.4198198198198198,472.5671607485699,0.02658401673403064,-1942379.8076841445,-3030.1905299783684,0.0022174335034641957
0.42072072072072075,472.5937026482823,0.026541899712398054,-1945405.2210421008,-3025.413357956335,0.002213764941274257
0.42162162162162165,472.62020243536807,0.02649978708576982,-1948425.8575984037,-3020.6365563028958,0.002210094435538438
0.42252252252252254,472.64666011421497,0.026457678846896957,-1951441.717722885,-3015.8601244813763,0.002206421990883368
0.42342342342342343,472.67307568920364,0.02641557498866288,-1954452.8017848553,-3011.084061970236,0.002202747611936303
0.4243243243243243,472.69944916470644,0.026373475502776064,-1957459.110152969,-3006.3083681135904,0.002199071303325106
0.4252252252252252,472.7257805450882,0.026331380381731002,-1960460.6431953146,-3001.5330423456617,0.0021953930696782392
0.42612612612612616,472.7520698347058,0.026289289617631627,-1963457.4012793698,-2996.758084055269,0.002191712915624764
0.42702702702702705,472.7783170379084,0.026247203202583516,-1966449.384772001,-2991.9834926312324,0.00218803084579433
0.42792792792792794,472.804522159038,0.026205121129608898,-1969436.5940395684,-2987.2092675673775,0.0021843468648171907
0.42882882882882883,472.8306852024284,0.026163043390424412,-1972419.0294477763,-2982.4354082078207,0.0021806609773241652
0.4297297297297297,472.8568061724057,0.026120969977271178,-1975396.6913617328,-2977.6619139565155,0.0021769731879466543
0.4306306306306306,472.8828850732884,0.026078900882653404,-1978369.5801459798,-2972.888784246985,0.002173283501316624
0.43153153153153156,472.90892190938746,0.026036836099076865,-1981337.6961644932,-2968.1160185134504,0.0021695919220666134
0.43243243243243246,472.93491668500627,0.025994775618787495,-1984301.0397806528,-2963.343616159633,0.0021658984548297193
0.43333333333333335,472.9608694044399,0.025952719433640716,-1987259.6113571974,-2958.5715765445493,0.0021622031042395832
0.43423423423423424,472.98678007197634,0.02591066753640852,-1990213.4112563296,-2953.799899132224,0.0021585058749304
0.43513513513513513,473.01264869189566,0.025868619919341636,-1993162.439839656,-2949.028583326377,0.0021548067715369073
