Pressure,Initial Temperature,Length-to-diameter Ratio,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
1988281.25,300.0,1.01,302.2974584567912,-6677.019523208941,4.468304066500621e-05,562452.9030365901,395.4781977884192,164371.53083906666,11062701.557040712,11249058.060731802,22311759.617772512,1.3093147264829907
2000000.0,300.0,1.02015625,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.3153218688565,164227.08732103932,11054504.297662696,11244030.012463951,22298534.310126647,1.308484614289969
2000000.0,300.0,0.99984375,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.34846807196817,166261.86923194616,11169880.243936384,11244030.012463951,22413910.25640034,1.3171712645526592
2000000.0,300.39453125,1.01,302.1797709631865,-6677.752272119726,4.457692919145017e-05,562501.9741905237,395.5429770110957,165321.42837355097,11116581.96688167,11250039.483810475,22366621.450692147,1.3134129441880875
2000000.0,299.60546875,1.01,302.2303684567437,-6677.486589914168,4.462252944676355e-05,562663.9134681424,395.6568312258218,165368.43856102985,11119247.28669444,11253278.269362848,22372525.55605729,1.3137507805251305
2005859.375,300.0,1.01,302.29039291295805,-6677.228759063388,4.4676665419038505e-05,562287.0828413094,395.4070288640909,165726.74454469603,11139558.301534072,11245741.656826189,22385299.95836026,1.3149608159219008
1994140.625,300.0,1.01,302.2693202743722,-6677.224661713446,4.465765511512476e-05,562564.4351041504,395.5717488021321,164871.63821365827,11091074.62177124,11251288.702083008,22342363.323854245,1.3115454023667137
2000000.0,300.0,1.015078125,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.3234807282144,164728.11419023684,11082933.260091951,11244030.012463951,22326963.272555903,1.3106250297052269
2000000.0,300.0,1.004921875,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.340052531741,165745.42764270926,11140617.195097407,11244030.012463951,22384647.20756136,1.3149680508058248
2000000.0,300.197265625,1.01,302.1532842312158,-6677.891344344223,4.45530706466118e-05,562535.4549383438,395.5665162312042,165331.1476815753,11117133.028339451,11250709.098766876,22367842.12710633,1.3134827921791057
